2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Red Line Collector | routeID=20 | poll=15s | timeout=10s
2026-03-03 07:11:59  INFO      CSV  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:11:59  INFO      Log  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_collector.log
2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Created CSV with headers: /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:27:10  INFO      HEARTBEAT | snapshot=2026-03-03 12:27:09 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:27:25  INFO      HEARTBEAT | snapshot=2026-03-03 12:27:25 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:27:40  INFO      HEARTBEAT | snapshot=2026-03-03 12:27:40 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:27:55  INFO      HEARTBEAT | snapshot=2026-03-03 12:27:55 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:28:10  INFO      HEARTBEAT | snapshot=2026-03-03 12:28:10 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:28:25  INFO      HEARTBEAT | snapshot=2026-03-03 12:28:25 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:28:49  INFO      HEARTBEAT | snapshot=2026-03-03 12:28:40 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:29:04  INFO      HEARTBEAT | snapshot=2026-03-03 12:29:04 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:29:19  INFO      HEARTBEAT | snapshot=2026-03-03 12:29:19 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:29:34  INFO      HEARTBEAT | snapshot=2026-03-03 12:29:34 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:29:50  INFO      HEARTBEAT | snapshot=2026-03-03 12:29:49 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:30:06  INFO      HEARTBEAT | snapshot=2026-03-03 12:30:05 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:30:21  INFO      HEARTBEAT | snapshot=2026-03-03 12:30:21 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:30:37  INFO      HEARTBEAT | snapshot=2026-03-03 12:30:36 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:30:53  INFO      HEARTBEAT | snapshot=2026-03-03 12:30:52 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:31:08  INFO      HEARTBEAT | snapshot=2026-03-03 12:31:08 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:31:23  INFO      HEARTBEAT | snapshot=2026-03-03 12:31:23 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:31:38  INFO      HEARTBEAT | snapshot=2026-03-03 12:31:38 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:31:54  INFO      HEARTBEAT | snapshot=2026-03-03 12:31:53 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:32:09  INFO      HEARTBEAT | snapshot=2026-03-03 12:32:09 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:32:24  INFO      HEARTBEAT | snapshot=2026-03-03 12:32:24 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:32:40  INFO      HEARTBEAT | snapshot=2026-03-03 12:32:39 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:32:55  INFO      HEARTBEAT | snapshot=2026-03-03 12:32:55 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:33:11  INFO      HEARTBEAT | snapshot=2026-03-03 12:33:10 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:33:26  INFO      HEARTBEAT | snapshot=2026-03-03 12:33:26 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:33:41  INFO      HEARTBEAT | snapshot=2026-03-03 12:33:41 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:33:57  INFO      HEARTBEAT | snapshot=2026-03-03 12:33:56 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:34:12  INFO      HEARTBEAT | snapshot=2026-03-03 12:34:12 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:34:27  INFO      HEARTBEAT | snapshot=2026-03-03 12:34:27 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:34:42  INFO      HEARTBEAT | snapshot=2026-03-03 12:34:42 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:34:58  INFO      HEARTBEAT | snapshot=2026-03-03 12:34:57 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:35:13  INFO      HEARTBEAT | snapshot=2026-03-03 12:35:13 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:35:28  INFO      HEARTBEAT | snapshot=2026-03-03 12:35:28 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:35:43  INFO      HEARTBEAT | snapshot=2026-03-03 12:35:43 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:35:59  INFO      HEARTBEAT | snapshot=2026-03-03 12:35:58 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:36:14  INFO      HEARTBEAT | snapshot=2026-03-03 12:36:14 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:36:30  INFO      HEARTBEAT | snapshot=2026-03-03 12:36:29 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:36:45  INFO      HEARTBEAT | snapshot=2026-03-03 12:36:45 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:37:00  INFO      HEARTBEAT | snapshot=2026-03-03 12:37:00 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:37:16  INFO      HEARTBEAT | snapshot=2026-03-03 12:37:15 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:37:31  INFO      HEARTBEAT | snapshot=2026-03-03 12:37:31 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:37:47  INFO      HEARTBEAT | snapshot=2026-03-03 12:37:46 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:37:47  INFO      MILESTONE | tick=100 | total_rows=100
2026-03-03 07:38:02  INFO      HEARTBEAT | snapshot=2026-03-03 12:38:02 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:38:17  INFO      HEARTBEAT | snapshot=2026-03-03 12:38:17 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:38:32  INFO      HEARTBEAT | snapshot=2026-03-03 12:38:32 | vehicles=1 | rows=1 | errors=0
